DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2013,79.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2014,79.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2015,89.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2016,98.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2017,99.5,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,EL,2018,91.5,e
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2000,58.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2001,63.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2002,59.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2003,57.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2004,63.3,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2005,69.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2006,71.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2007,70,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2008,73.4,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2009,76.7,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2010,76.1,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2011,76.6,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2012,77.8,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2013,75,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2014,78.2,
ESTAT:CEI_WM020(1.0),18/06/21 23:00:00,A,W150101,RT,ES,2015,76.9,
